분과,질환,Days,OddsRatioEst,LowerCL,UpperCL,air,p-value
안과,비감염성공막염,5 days,0.989,0.97,1.009,pm25_avg4_by10,
안과,비감염성공막염,6 days,0.984,0.964,1.005,pm25_avg5_by10,
안과,비감염성공막염,7 days,0.983,0.961,1.005,pm25_avg6_by10,
안과,안구건조증,3 days,1.006,1.005,1.007,pm10_avg2_by10,
안과,안구건조증,4 days,1.005,1.004,1.007,pm10_avg3_by10,
안과,안구건조증,5 days,1.006,1.004,1.007,pm10_avg4_by10,
안과,안구건조증,6 days,1.005,1.003,1.006,pm10_avg5_by10,
안과,안구건조증,7 days,1.003,1.002,1.005,pm10_avg6_by10,
안과,안구건조증,3 days,1.012,1.01,1.014,pm25_avg2_by10,
안과,안구건조증,4 days,1.011,1.008,1.013,pm25_avg3_by10,
안과,안구건조증,5 days,1.011,1.008,1.013,pm25_avg4_by10,
안과,안구건조증,6 days,1.007,1.004,1.01,pm25_avg5_by10,
안과,안구건조증,7 days,1.003,1,1.006,pm25_avg6_by10,0.0319
안과,알레르기성결막염,3 days,1.001,1,1.003,pm10_avg2_by10,0.0162
안과,알레르기성결막염,4 days,1,0.999,1.001,pm10_avg3_by10,
안과,알레르기성결막염,5 days,0.999,0.998,1.001,pm10_avg4_by10,
안과,알레르기성결막염,6 days,0.998,0.997,0.999,pm10_avg5_by10,
안과,알레르기성결막염,7 days,0.997,0.995,0.998,pm10_avg6_by10,
안과,알레르기성결막염,3 days,1.002,1,1.004,pm25_avg2_by10,0.101
안과,알레르기성결막염,4 days,0.999,0.996,1.001,pm25_avg3_by10,
안과,알레르기성결막염,5 days,0.997,0.994,0.999,pm25_avg4_by10,
안과,알레르기성결막염,6 days,0.993,0.991,0.996,pm25_avg5_by10,
안과,알레르기성결막염,7 days,0.991,0.988,0.994,pm25_avg6_by10,
안과,안검염,3 days,1.005,1.004,1.006,pm10_avg2_by10,
안과,안검염,4 days,1.005,1.004,1.006,pm10_avg3_by10,
안과,안검염,5 days,1.004,1.003,1.006,pm10_avg4_by10,
안과,안검염,6 days,1.003,1.002,1.004,pm10_avg5_by10,
안과,안검염,7 days,1.001,1,1.003,pm10_avg6_by10,0.0459
안과,안검염,3 days,1.009,1.007,1.011,pm25_avg2_by10,
안과,안검염,4 days,1.008,1.006,1.01,pm25_avg3_by10,
안과,안검염,5 days,1.007,1.005,1.009,pm25_avg4_by10,
안과,안검염,6 days,1.004,1.002,1.006,pm25_avg5_by10,
안과,안검염,7 days,1.001,0.999,1.004,pm25_avg6_by10,
안과,백내장,3 days,1.004,1.001,1.006,pm10_avg2_by10,
안과,백내장,4 days,1.005,1.003,1.008,pm10_avg3_by10,
안과,백내장,5 days,1.007,1.004,1.01,pm10_avg4_by10,
안과,백내장,6 days,1.007,1.004,1.01,pm10_avg5_by10,
안과,백내장,7 days,1.006,1.003,1.009,pm10_avg6_by10,
안과,백내장,3 days,1.01,1.006,1.015,pm25_avg2_by10,
안과,백내장,4 days,1.013,1.008,1.018,pm25_avg3_by10,
안과,백내장,5 days,1.015,1.01,1.02,pm25_avg4_by10,
안과,백내장,6 days,1.014,1.008,1.019,pm25_avg5_by10,
안과,백내장,7 days,1.013,1.006,1.019,pm25_avg6_by10,
