분과,질환,subgroup,OddsRatioEst,LowerCL,UpperCL,air,p-value
정신질환,우울증,smk11,1,0.991,1.009,pm10,
정신질환,우울증,smk12,1.012,0.998,1.026,pm10,
정신질환,우울증,smk19,1.002,0.995,1.009,pm10,
정신질환,우울증,age650,0.997,0.985,1.009,pm25,
정신질환,우울증,age651,1.004,0.988,1.021,pm25,
정신질환,우울증,bmi_cat11,0.998,0.978,1.019,pm25,
정신질환,우울증,bmi_cat12,1.009,0.99,1.028,pm25,
정신질환,우울증,bmi_cat19,0.995,0.981,1.009,pm25,
정신질환,우울증,fcode10,0.987,0.97,1.004,pm25,
정신질환,우울증,fcode11,1.006,0.994,1.019,pm25,
정신질환,우울증,medicaid0,1.002,0.991,1.012,pm25,
정신질환,우울증,medicaid1,0.98,0.95,1.01,pm25,
정신질환,우울증,sex_type0,0.996,0.98,1.013,pm25,
정신질환,우울증,sex_type1,1.001,0.989,1.014,pm25,
정신질환,우울증,smk11,0.997,0.981,1.014,pm25,
정신질환,우울증,smk12,1.016,0.991,1.042,pm25,
정신질환,우울증,smk19,0.996,0.982,1.01,pm25,
정신질환,공황발작,age650,1.002,0.99,1.013,pm10,
정신질환,공황발작,age651,0.997,0.972,1.024,pm10,
정신질환,공황발작,bmi_cat11,1.007,0.985,1.03,pm10,
정신질환,공황발작,bmi_cat12,0.988,0.968,1.008,pm10,
정신질환,공황발작,bmi_cat19,1.006,0.991,1.021,pm10,
정신질환,공황발작,fcode10,1.003,0.985,1.022,pm10,
정신질환,공황발작,fcode11,1,0.987,1.013,pm10,
정신질환,공황발작,medicaid0,1,0.989,1.011,pm10,
정신질환,공황발작,medicaid1,1.008,0.974,1.044,pm10,
정신질환,공황발작,sex_type0,0.999,0.982,1.015,pm10,
정신질환,공황발작,sex_type1,1.003,0.989,1.016,pm10,
정신질환,공황발작,smk11,0.989,0.97,1.008,pm10,
정신질환,공황발작,smk12,1.009,0.984,1.034,pm10,
정신질환,공황발작,smk19,1.006,0.991,1.02,pm10,
정신질환,공황발작,age650,1.001,0.979,1.023,pm25,
정신질환,공황발작,age651,0.972,0.924,1.022,pm25,
정신질환,공황발작,bmi_cat11,1.019,0.978,1.061,pm25,
정신질환,공황발작,bmi_cat12,0.979,0.944,1.014,pm25,
정신질환,공황발작,bmi_cat19,0.997,0.966,1.028,pm25,
정신질환,공황발작,fcode10,1.005,0.971,1.041,pm25,
정신질환,공황발작,fcode11,0.991,0.967,1.016,pm25,
정신질환,공황발작,medicaid0,0.996,0.975,1.017,pm25,
정신질환,공황발작,medicaid1,1,0.933,1.073,pm25,
정신질환,공황발작,sex_type0,0.999,0.968,1.031,pm25,
정신질환,공황발작,sex_type1,0.994,0.968,1.021,pm25,
정신질환,공황발작,smk11,0.974,0.941,1.008,pm25,
정신질환,공황발작,smk12,1.034,0.989,1.081,pm25,
정신질환,공황발작,smk19,0.997,0.967,1.027,pm25,
정신질환,양극성장애,age650,0.999,0.987,1.011,pm10,
정신질환,양극성장애,age651,1.012,0.994,1.029,pm10,
정신질환,양극성장애,bmi_cat11,1.016,0.993,1.039,pm10,
정신질환,양극성장애,bmi_cat12,1.005,0.985,1.025,pm10,
정신질환,양극성장애,bmi_cat19,0.999,0.985,1.012,pm10,
정신질환,양극성장애,fcode10,0.995,0.976,1.014,pm10,
정신질환,양극성장애,fcode11,1.006,0.995,1.018,pm10,
정신질환,양극성장애,medicaid0,1.001,0.99,1.012,pm10,
정신질환,양극성장애,medicaid1,1.027,0.994,1.062,pm10,
정신질환,양극성장애,sex_type0,1.007,0.992,1.022,pm10,
정신질환,양극성장애,sex_type1,1,0.986,1.014,pm10,
정신질환,양극성장애,smk11,1.007,0.987,1.026,pm10,
정신질환,양극성장애,smk12,1.014,0.989,1.039,pm10,
정신질환,양극성장애,smk19,0.999,0.985,1.012,pm10,
정신질환,양극성장애,age650,1.002,0.978,1.026,pm25,
정신질환,양극성장애,age651,1.017,0.985,1.05,pm25,
정신질환,양극성장애,bmi_cat11,1.008,0.965,1.053,pm25,
정신질환,양극성장애,bmi_cat12,1.015,0.979,1.053,pm25,
정신질환,양극성장애,bmi_cat19,1.004,0.977,1.031,pm25,
정신질환,양극성장애,fcode10,0.999,0.962,1.038,pm25,
정신질환,양극성장애,fcode11,1.01,0.988,1.033,pm25,
정신질환,양극성장애,medicaid0,1.003,0.983,1.024,pm25,
정신질환,양극성장애,medicaid1,1.046,0.986,1.11,pm25,
정신질환,양극성장애,sex_type0,1.006,0.978,1.035,pm25,
정신질환,양극성장애,sex_type1,1.008,0.982,1.035,pm25,
정신질환,양극성장애,smk11,1.013,0.978,1.05,pm25,
정신질환,양극성장애,smk12,1.007,0.962,1.054,pm25,
정신질환,양극성장애,smk19,1.004,0.978,1.031,pm25,
정신질환,조현병,age650,0.995,0.985,1.005,pm10,
정신질환,조현병,age651,0.98,0.958,1.004,pm10,
정신질환,조현병,bmi_cat11,0.991,0.965,1.017,pm10,
정신질환,조현병,bmi_cat12,1.013,0.992,1.035,pm10,
정신질환,조현병,bmi_cat19,0.988,0.978,0.999,pm10,
정신질환,조현병,fcode10,0.97,0.948,0.992,pm10,
정신질환,조현병,fcode11,0.998,0.988,1.008,pm10,
정신질환,조현병,medicaid0,0.99,0.979,1,pm10,
정신질환,조현병,medicaid1,1.002,0.983,1.02,pm10,
정신질환,조현병,sex_type0,0.99,0.976,1.003,pm10,
정신질환,조현병,sex_type1,0.995,0.983,1.008,pm10,
정신질환,조현병,smk11,1.007,0.986,1.028,pm10,
정신질환,조현병,smk12,1,0.972,1.029,pm10,
정신질환,조현병,smk19,0.988,0.977,0.999,pm10,
정신질환,조현병,age650,1,0.981,1.02,pm25,
정신질환,조현병,age651,0.975,0.932,1.019,pm25,
정신질환,조현병,bmi_cat11,0.996,0.945,1.048,pm25,
정신질환,조현병,bmi_cat12,1.024,0.982,1.068,pm25,
정신질환,조현병,bmi_cat19,0.989,0.969,1.011,pm25,
정신질환,조현병,fcode10,0.933,0.893,0.974,pm25,
정신질환,조현병,fcode11,1.01,0.99,1.03,pm25,
정신질환,조현병,medicaid0,0.986,0.966,1.007,pm25,
정신질환,조현병,medicaid1,1.025,0.99,1.062,pm25,
정신질환,조현병,sex_type0,0.999,0.973,1.025,pm25,
정신질환,조현병,sex_type1,0.993,0.969,1.018,pm25,
정신질환,조현병,smk11,1.017,0.975,1.06,pm25,
정신질환,조현병,smk12,1.009,0.956,1.065,pm25,
정신질환,조현병,smk19,0.989,0.968,1.01,pm25,
신경계,치매,age650,0.994,0.984,1.004,pm10,
신경계,치매,age651,0.992,0.989,0.994,pm10,
신경계,치매,bmi_cat11,0.994,0.987,1.001,pm10,
신경계,치매,bmi_cat12,0.989,0.982,0.996,pm10,
신경계,치매,bmi_cat19,0.992,0.988,0.995,pm10,
신경계,치매,medicaid0,0.993,0.99,0.996,pm10,
신경계,치매,medicaid1,0.987,0.981,0.993,pm10,
신경계,치매,sex_type0,0.995,0.991,1,pm10,
신경계,치매,sex_type1,0.99,0.986,0.993,pm10,
신경계,치매,smk11,0.992,0.986,0.997,pm10,
신경계,치매,smk12,0.992,0.982,1.002,pm10,
신경계,치매,smk19,0.992,0.988,0.995,pm10,
신경계,치매,age650,0.986,0.968,1.005,pm25,
신경계,치매,age651,0.981,0.976,0.986,pm25,
신경계,치매,bmi_cat11,0.986,0.974,0.998,pm25,
신경계,치매,bmi_cat12,0.978,0.966,0.991,pm25,
신경계,치매,bmi_cat19,0.981,0.975,0.988,pm25,
신경계,치매,medicaid0,0.984,0.978,0.989,pm25,
신경계,치매,medicaid1,0.973,0.961,0.984,pm25,
신경계,치매,sex_type0,0.987,0.978,0.996,pm25,
신경계,치매,sex_type1,0.979,0.972,0.985,pm25,
신경계,치매,smk11,0.982,0.972,0.992,pm25,
신경계,치매,smk12,0.985,0.968,1.003,pm25,
신경계,치매,smk19,0.981,0.975,0.987,pm25,
신경계,알츠하이머,age650,0.981,0.966,0.996,pm10,
신경계,알츠하이머,age651,0.985,0.982,0.989,pm10,
신경계,알츠하이머,bmi_cat11,0.989,0.981,0.997,pm10,
신경계,알츠하이머,bmi_cat12,0.986,0.978,0.994,pm10,
신경계,알츠하이머,bmi_cat19,0.984,0.98,0.988,pm10,
신경계,알츠하이머,medicaid0,0.985,0.981,0.989,pm10,
신경계,알츠하이머,medicaid1,0.987,0.979,0.994,pm10,
신경계,알츠하이머,sex_type0,0.986,0.98,0.992,pm10,
신경계,알츠하이머,sex_type1,0.985,0.981,0.989,pm10,
신경계,알츠하이머,smk11,0.991,0.984,0.997,pm10,
신경계,알츠하이머,smk12,0.977,0.965,0.989,pm10,
신경계,알츠하이머,smk19,0.984,0.98,0.988,pm10,
신경계,알츠하이머,age650,0.989,0.963,1.016,pm25,
신경계,알츠하이머,age651,0.978,0.972,0.984,pm25,
신경계,알츠하이머,bmi_cat11,0.985,0.971,0.999,pm25,
신경계,알츠하이머,bmi_cat12,0.977,0.962,0.992,pm25,
신경계,알츠하이머,bmi_cat19,0.977,0.97,0.985,pm25,
신경계,알츠하이머,medicaid0,0.98,0.973,0.987,pm25,
신경계,알츠하이머,medicaid1,0.97,0.957,0.984,pm25,
신경계,알츠하이머,sex_type0,0.978,0.968,0.989,pm25,
신경계,알츠하이머,sex_type1,0.978,0.971,0.986,pm25,
신경계,알츠하이머,smk11,0.985,0.974,0.997,pm25,
신경계,알츠하이머,smk12,0.968,0.948,0.989,pm25,
신경계,알츠하이머,smk19,0.977,0.969,0.984,pm25,
신경계,파킨슨,age650,1.01,0.978,1.042,pm10,
신경계,파킨슨,age651,0.979,0.968,0.99,pm10,
신경계,파킨슨,bmi_cat11,0.968,0.942,0.994,pm10,
신경계,파킨슨,bmi_cat12,0.974,0.951,0.997,pm10,
신경계,파킨슨,bmi_cat19,0.989,0.976,1.002,pm10,
신경계,파킨슨,medicaid0,0.978,0.967,0.99,pm10,
신경계,파킨슨,medicaid1,1.002,0.978,1.027,pm10,
신경계,파킨슨,sex_type0,1.001,0.984,1.018,pm10,
신경계,파킨슨,sex_type1,0.972,0.959,0.985,pm10,
신경계,파킨슨,smk11,0.974,0.955,0.994,pm10,
신경계,파킨슨,smk12,0.955,0.915,0.997,pm10,
신경계,파킨슨,smk19,0.989,0.976,1.002,pm10,
신경계,파킨슨,age650,0.985,0.925,1.049,pm25,
신경계,파킨슨,age651,0.96,0.941,0.98,pm25,
신경계,파킨슨,bmi_cat11,0.939,0.897,0.984,pm25,
신경계,파킨슨,bmi_cat12,0.95,0.91,0.992,pm25,
신경계,파킨슨,bmi_cat19,0.974,0.95,0.998,pm25,
신경계,파킨슨,medicaid0,0.959,0.939,0.98,pm25,
신경계,파킨슨,medicaid1,0.979,0.934,1.026,pm25,
신경계,파킨슨,sex_type0,0.991,0.959,1.023,pm25,
신경계,파킨슨,sex_type1,0.947,0.925,0.971,pm25,
신경계,파킨슨,smk11,0.951,0.919,0.985,pm25,
신경계,파킨슨,smk12,0.921,0.856,0.992,pm25,
신경계,파킨슨,smk19,0.973,0.949,0.998,pm25,
피부,건선,age650,1.003,0.977,1.029,pm10,
피부,건선,age651,0.983,0.943,1.024,pm10,
피부,건선,bmi_cat11,0.947,0.894,1.003,pm10,
피부,건선,bmi_cat12,1,0.962,1.04,pm10,
피부,건선,bmi_cat19,1.011,0.982,1.041,pm10,
피부,건선,h_allergy0,1,0.975,1.026,pm10,
피부,건선,h_allergy1,0.991,0.951,1.034,pm10,
피부,건선,h_autoimm0,0.999,0.977,1.021,pm10,
피부,건선,h_autoimm1,0.966,0.865,1.079,pm10,
피부,건선,h_cancer0,1.002,0.979,1.025,pm10,
피부,건선,h_cancer1,0.942,0.866,1.025,pm10,
피부,건선,medicaid0,0.996,0.973,1.02,pm10,
피부,건선,medicaid1,1.006,0.95,1.066,pm10,
피부,건선,sex_type0,1.015,0.988,1.042,pm10,
피부,건선,sex_type1,0.963,0.926,1.003,pm10,
피부,건선,smk11,0.954,0.906,1.006,pm10,
피부,건선,smk12,0.999,0.959,1.04,pm10,
피부,건선,smk19,1.011,0.982,1.041,pm10,
피부,건선,age650,1.014,0.962,1.069,pm25,
피부,건선,age651,0.981,0.912,1.055,pm25,
피부,건선,bmi_cat11,0.899,0.811,0.996,pm25,
피부,건선,bmi_cat12,1.021,0.947,1.1,pm25,
피부,건선,bmi_cat19,1.033,0.972,1.097,pm25,
피부,건선,h_allergy0,1.025,0.975,1.079,pm25,
피부,건선,h_allergy1,0.954,0.882,1.032,pm25,
피부,건선,h_autoimm0,1.006,0.963,1.05,pm25,
피부,건선,h_autoimm1,0.907,0.696,1.184,pm25,
피부,건선,h_cancer0,1.011,0.967,1.058,pm25,
피부,건선,h_cancer1,0.932,0.812,1.07,pm25,
피부,건선,medicaid0,0.999,0.955,1.046,pm25,
피부,건선,medicaid1,1.037,0.919,1.17,pm25,
피부,건선,sex_type0,1.029,0.976,1.085,pm25,
피부,건선,sex_type1,0.955,0.887,1.028,pm25,
피부,건선,smk11,0.932,0.85,1.022,pm25,
피부,건선,smk12,1.003,0.926,1.087,pm25,
피부,건선,smk19,1.035,0.975,1.1,pm25,
류마티스,쇼그렌증후군,BMI_CAT1,0.951,0.868,1.042,PM10,
류마티스,쇼그렌증후군,BMI_CAT2,1.017,0.927,1.116,PM10,
류마티스,쇼그렌증후군,BMI_CAT9,1.036,0.962,1.116,PM10,
류마티스,쇼그렌증후군,chr_kid0,1.007,0.961,1.055,PM10,
류마티스,쇼그렌증후군,chr_kid1,0.891,0.662,1.2,PM10,
류마티스,쇼그렌증후군,DM0,0.992,0.941,1.045,PM10,
류마티스,쇼그렌증후군,DM1,1.057,0.949,1.177,PM10,
류마티스,쇼그렌증후군,hyper0,0.968,0.91,1.029,PM10,
류마티스,쇼그렌증후군,hyper1,1.077,0.996,1.164,PM10,
류마티스,쇼그렌증후군,hyper_thy0,1.007,0.962,1.054,PM10,
류마티스,쇼그렌증후군,hyper_thy1,0.627,0.332,1.183,PM10,
류마티스,쇼그렌증후군,hypo_thy0,1.001,0.953,1.05,PM10,
류마티스,쇼그렌증후군,hypo_thy1,1.034,0.853,1.254,PM10,
류마티스,쇼그렌증후군,h_copd0,1.002,0.956,1.05,PM10,
류마티스,쇼그렌증후군,h_copd1,1.131,0.775,1.649,PM10,
류마티스,쇼그렌증후군,liver0,1.018,0.961,1.079,PM10,
류마티스,쇼그렌증후군,liver1,0.971,0.887,1.064,PM10,
류마티스,쇼그렌증후군,SMK_never,0.973,0.908,1.043,PM10,
류마티스,쇼그렌증후군,SMK_ever,1.06,0.906,1.239,PM10,
류마티스,쇼그렌증후군,SMK_UNKNOWN,1.035,0.961,1.114,PM10,
류마티스,쇼그렌증후군,BMI_CAT1,0.959,0.808,1.138,PM25,
류마티스,쇼그렌증후군,BMI_CAT2,1.051,0.902,1.226,PM25,
류마티스,쇼그렌증후군,BMI_CAT9,1.028,0.875,1.208,PM25,
류마티스,쇼그렌증후군,chr_kid0,1.021,0.929,1.122,PM25,
류마티스,쇼그렌증후군,chr_kid1,0.919,0.556,1.517,PM25,
류마티스,쇼그렌증후군,DM0,1.006,0.906,1.118,PM25,
류마티스,쇼그렌증후군,DM1,1.055,0.862,1.292,PM25,
류마티스,쇼그렌증후군,hyper0,0.963,0.861,1.078,PM25,
류마티스,쇼그렌증후군,hyper1,1.17,0.99,1.382,PM25,
류마티스,쇼그렌증후군,hyper_thy0,1.023,0.932,1.123,PM25,
류마티스,쇼그렌증후군,hyper_thy1,0.569,0.196,1.653,PM25,
류마티스,쇼그렌증후군,hypo_thy0,1.006,0.913,1.108,PM25,
류마티스,쇼그렌증후군,hypo_thy1,1.154,0.803,1.658,PM25,
류마티스,쇼그렌증후군,h_copd0,1.012,0.921,1.111,PM25,
류마티스,쇼그렌증후군,h_copd1,1.294,0.608,2.753,PM25,
류마티스,쇼그렌증후군,liver0,1.044,0.938,1.163,PM25,
류마티스,쇼그렌증후군,liver1,0.931,0.771,1.124,PM25,
류마티스,쇼그렌증후군,SMK_never,0.991,0.872,1.127,PM25,
류마티스,쇼그렌증후군,SMK_ever,1.103,0.859,1.417,PM25,
류마티스,쇼그렌증후군,SMK_UNKNOWN,1.029,0.877,1.207,PM25,
이비인후,알레르기성비염,asthma0,1.003,1.001,1.004,PM10,
이비인후,알레르기성비염,asthma1,1.001,0.999,1.003,PM10,
이비인후,알레르기성비염,atopi0,1.002,1.001,1.003,PM10,
이비인후,알레르기성비염,atopi1,1.001,0.994,1.009,PM10,
이비인후,알레르기성비염,cancer0,1.002,1.001,1.003,PM10,
이비인후,알레르기성비염,cancer1,1.002,0.999,1.005,PM10,
이비인후,알레르기성비염,female,1.003,1.001,1.004,PM10,
이비인후,알레르기성비염,male,1.002,1,1.003,PM10,0.0584
이비인후,알레르기성비염,medicaid,1.002,0.997,1.006,PM10,
이비인후,알레르기성비염,normal,1.002,1.001,1.003,PM10,
이비인후,알레르기성비염,over65,1.004,1.002,1.005,PM10,
이비인후,알레르기성비염,trans0,1.002,1.001,1.003,PM10,
이비인후,알레르기성비염,trans1,0.999,0.963,1.037,PM10,
이비인후,알레르기성비염,under65,1.002,1,1.003,PM10,0.0119
이비인후,알레르기성비염,asthma0,1.004,1.002,1.006,PM25,
이비인후,알레르기성비염,asthma1,1.001,0.997,1.005,PM25,
이비인후,알레르기성비염,atopi0,1.003,1.001,1.005,PM25,
이비인후,알레르기성비염,atopi1,1.001,0.987,1.014,PM25,
이비인후,알레르기성비염,cancer0,1.003,1.001,1.005,PM25,
이비인후,알레르기성비염,cancer1,1.003,0.997,1.008,PM25,
이비인후,알레르기성비염,female,1.004,1.001,1.006,PM25,
이비인후,알레르기성비염,male,1.002,0.999,1.005,PM25,
이비인후,알레르기성비염,medicaid,1.004,0.996,1.013,PM25,
이비인후,알레르기성비염,normal,1.003,1.001,1.005,PM25,
이비인후,알레르기성비염,over65,1.005,1.002,1.009,PM25,
이비인후,알레르기성비염,trans0,1.003,1.001,1.005,PM25,
이비인후,알레르기성비염,trans1,0.983,0.92,1.049,PM25,
이비인후,알레르기성비염,under65,1.002,1,1.004,PM25,0.0897
신장,말기신부전,age650,1.003,0.996,1.009,pm10,
신장,말기신부전,age651,1.005,0.999,1.01,pm10,
신장,말기신부전,BMI_CAT11,1.01,0.999,1.021,pm10,
신장,말기신부전,BMI_CAT12,1.001,0.991,1.011,pm10,
신장,말기신부전,BMI_CAT19,1.003,0.998,1.009,pm10,
신장,말기신부전,DM10,0.998,0.99,1.006,pm10,
신장,말기신부전,DM11,1.006,1.001,1.012,pm10,
신장,말기신부전,hyper10,1,0.986,1.015,pm10,
신장,말기신부전,hyper11,1.004,1,1.009,pm10,0.0685
신장,말기신부전,medicaid0,1.004,1,1.009,pm10,0.0743
신장,말기신부전,medicaid1,1.001,0.992,1.011,pm10,
신장,말기신부전,sex_type0,1.005,1,1.011,pm10,0.0688
신장,말기신부전,sex_type1,1.002,0.995,1.009,pm10,
신장,말기신부전,SMK11,1.007,0.997,1.017,pm10,
신장,말기신부전,SMK12,1.003,0.99,1.015,pm10,
신장,말기신부전,SMK19,1.003,0.998,1.008,pm10,
신장,말기신부전,age650,1,0.987,1.013,pm25,
신장,말기신부전,age651,1.006,0.994,1.017,pm25,
신장,말기신부전,BMI_CAT11,1.014,0.993,1.036,pm25,
신장,말기신부전,BMI_CAT12,0.997,0.978,1.016,pm25,
신장,말기신부전,BMI_CAT19,1.002,0.992,1.013,pm25,
신장,말기신부전,DM10,0.995,0.98,1.011,pm25,
신장,말기신부전,DM11,1.006,0.996,1.016,pm25,
신장,말기신부전,hyper10,0.999,0.972,1.026,pm25,
신장,말기신부전,hyper11,1.004,0.995,1.013,pm25,
신장,말기신부전,medicaid0,1,0.991,1.01,pm25,
신장,말기신부전,medicaid1,1.014,0.995,1.033,pm25,
신장,말기신부전,sex_type0,1.006,0.995,1.017,pm25,
신장,말기신부전,sex_type1,0.999,0.986,1.013,pm25,
신장,말기신부전,SMK11,1.008,0.99,1.026,pm25,
신장,말기신부전,SMK12,1,0.978,1.023,pm25,
신장,말기신부전,SMK19,1.002,0.991,1.013,pm25,
신장,신장이식,BMI_CAT1,0.998,0.966,1.031,PM10,
신장,신장이식,BMI_CAT2,0.98,0.95,1.011,PM10,
신장,신장이식,BMI_CAT9,0.987,0.966,1.008,PM10,
신장,신장이식,DM0,0.984,0.958,1.01,PM10,
신장,신장이식,DM1,0.989,0.97,1.008,PM10,
신장,신장이식,female,0.989,0.966,1.013,PM10,
신장,신장이식,hyper0,1.011,0.972,1.053,PM10,
신장,신장이식,hyper1,0.984,0.968,1,PM10,
신장,신장이식,male,0.986,0.966,1.007,PM10,
신장,신장이식,medicaid,0.987,0.948,1.028,PM10,
신장,신장이식,normal,0.987,0.971,1.004,PM10,
신장,신장이식,over65,0.971,0.928,1.016,PM10,
신장,신장이식,SMK_never,0.986,0.958,1.016,PM10,
신장,신장이식,SMK_ever,0.992,0.958,1.027,PM10,
신장,신장이식,SMK_UNKNOWN,0.986,0.966,1.008,PM10,
신장,신장이식,under65,0.99,0.973,1.006,PM10,
신장,신장이식,BMI_CAT1,0.995,0.939,1.054,PM25,
신장,신장이식,BMI_CAT2,0.97,0.917,1.026,PM25,
신장,신장이식,BMI_CAT9,0.991,0.952,1.031,PM25,
신장,신장이식,DM0,0.973,0.928,1.02,PM25,
신장,신장이식,DM1,0.993,0.959,1.028,PM25,
신장,신장이식,female,0.982,0.94,1.027,PM25,
신장,신장이식,hyper0,1.003,0.925,1.087,PM25,
신장,신장이식,hyper1,0.984,0.955,1.014,PM25,
신장,신장이식,male,0.989,0.953,1.025,PM25,
신장,신장이식,medicaid,0.976,0.906,1.051,PM25,
신장,신장이식,normal,0.988,0.958,1.018,PM25,
신장,신장이식,over65,0.975,0.897,1.061,PM25,
신장,신장이식,SMK_never,0.966,0.917,1.018,PM25,
신장,신장이식,SMK_ever,1.008,0.945,1.075,PM25,
신장,신장이식,SMK_UNKNOWN,0.99,0.952,1.03,PM25,
신장,신장이식,under65,0.987,0.958,1.017,PM25,
신장,전체신장질환,BMI_CAT1,1.004,1.002,1.007,PM10,
신장,전체신장질환,BMI_CAT2,1.005,1.003,1.007,PM10,
신장,전체신장질환,BMI_CAT9,1.003,1.001,1.004,PM10,
신장,전체신장질환,DM0,1.004,1.002,1.005,PM10,
신장,전체신장질환,DM1,1.004,1.002,1.006,PM10,
신장,전체신장질환,female,1.003,1.002,1.005,PM10,
신장,전체신장질환,hyper0,1.003,1.002,1.005,PM10,
신장,전체신장질환,hyper1,1.004,1.003,1.006,PM10,
신장,전체신장질환,male,1.004,1.003,1.006,PM10,
신장,전체신장질환,medicaid,1,0.996,1.003,PM10,
신장,전체신장질환,normal,1.004,1.003,1.005,PM10,
신장,전체신장질환,over65,1.004,1.002,1.005,PM10,
신장,전체신장질환,SMK_never,1.005,1.003,1.007,PM10,
신장,전체신장질환,SMK_ever,1.005,1.002,1.008,PM10,
신장,전체신장질환,SMK_UNKNOWN,1.003,1.001,1.004,PM10,
신장,전체신장질환,under65,1.004,1.002,1.005,PM10,
신장,전체신장질환,BMI_CAT1,1.007,1.002,1.012,PM25,
신장,전체신장질환,BMI_CAT2,1.008,1.004,1.012,PM25,
신장,전체신장질환,BMI_CAT9,1.006,1.003,1.009,PM25,
신장,전체신장질환,DM0,1.006,1.004,1.009,PM25,
신장,전체신장질환,DM1,1.007,1.003,1.011,PM25,
신장,전체신장질환,female,1.005,1.002,1.007,PM25,
신장,전체신장질환,hyper0,1.005,1.003,1.008,PM25,
신장,전체신장질환,hyper1,1.009,1.005,1.012,PM25,
신장,전체신장질환,male,1.01,1.006,1.013,PM25,
신장,전체신장질환,medicaid,0.999,0.992,1.006,PM25,
신장,전체신장질환,normal,1.007,1.005,1.01,PM25,
신장,전체신장질환,over65,1.007,1.004,1.01,PM25,
신장,전체신장질환,SMK_never,1.008,1.005,1.012,PM25,
신장,전체신장질환,SMK_ever,1.007,1.002,1.012,PM25,
신장,전체신장질환,SMK_UNKNOWN,1.005,1.002,1.008,PM25,
신장,전체신장질환,under65,1.006,1.003,1.009,PM25,
뇌졸중,뇌졸중(전체),Anticoagulant0,0.984,0.981,0.986,PM10,
뇌졸중,뇌졸중(전체),Anticoagulant1,0.998,0.99,1.006,PM10,
뇌졸중,뇌졸중(전체),Altzh0,0.985,0.982,0.987,PM10,
뇌졸중,뇌졸중(전체),Altzh1,0.989,0.976,1.003,PM10,
뇌졸중,뇌졸중(전체),Antiplatelet0,0.978,0.975,0.981,PM10,
뇌졸중,뇌졸중(전체),Antiplatelet1,0.992,0.989,0.995,PM10,
뇌졸중,뇌졸중(전체),BMI_CAT1,0.989,0.983,0.994,PM10,
뇌졸중,뇌졸중(전체),BMI_CAT2,0.99,0.986,0.994,PM10,
뇌졸중,뇌졸중(전체),BMI_CAT9,0.981,0.978,0.984,PM10,
뇌졸중,뇌졸중(전체),DM0,0.983,0.98,0.986,PM10,
뇌졸중,뇌졸중(전체),DM1,0.987,0.984,0.99,PM10,
뇌졸중,뇌졸중(전체),female,0.983,0.98,0.986,PM10,
뇌졸중,뇌졸중(전체),hyper0,0.985,0.98,0.989,PM10,
뇌졸중,뇌졸중(전체),hyper1,0.985,0.982,0.987,PM10,
뇌졸중,뇌졸중(전체),chr_kid0,0.984,0.982,0.987,PM10,
뇌졸중,뇌졸중(전체),chr_kid1,0.989,0.981,0.997,PM10,
뇌졸중,뇌졸중(전체),male,0.987,0.984,0.99,PM10,
뇌졸중,뇌졸중(전체),medicaid,0.977,0.971,0.983,PM10,
뇌졸중,뇌졸중(전체),normal,0.986,0.983,0.988,PM10,
뇌졸중,뇌졸중(전체),over65,0.984,0.981,0.986,PM10,
뇌졸중,뇌졸중(전체),SMK_never,0.989,0.985,0.993,PM10,
뇌졸중,뇌졸중(전체),SMK_ever,0.991,0.986,0.997,PM10,
뇌졸중,뇌졸중(전체),SMK_UNKNOWN,0.981,0.978,0.984,PM10,
뇌졸중,뇌졸중(전체),under65,0.987,0.982,0.991,PM10,
뇌졸중,뇌졸중(전체),Anticoagulant0,0.97,0.966,0.974,PM25,
뇌졸중,뇌졸중(전체),Anticoagulant1,0.992,0.978,1.006,PM25,
뇌졸중,뇌졸중(전체),Altzh0,0.971,0.967,0.975,PM25,
뇌졸중,뇌졸중(전체),Altzh1,0.988,0.964,1.013,PM25,
뇌졸중,뇌졸중(전체),Antiplatelet0,0.961,0.955,0.967,PM25,
뇌졸중,뇌졸중(전체),Antiplatelet1,0.984,0.978,0.989,PM25,
뇌졸중,뇌졸중(전체),BMI_CAT1,0.976,0.967,0.985,PM25,
뇌졸중,뇌졸중(전체),BMI_CAT2,0.982,0.975,0.99,PM25,
뇌졸중,뇌졸중(전체),BMI_CAT9,0.965,0.96,0.97,PM25,
뇌졸중,뇌졸중(전체),DM0,0.967,0.961,0.972,PM25,
뇌졸중,뇌졸중(전체),DM1,0.978,0.972,0.984,PM25,
뇌졸중,뇌졸중(전체),female,0.97,0.964,0.976,PM25,
뇌졸중,뇌졸중(전체),hyper0,0.97,0.962,0.978,PM25,
뇌졸중,뇌졸중(전체),hyper1,0.972,0.968,0.977,PM25,
뇌졸중,뇌졸중(전체),chr_kid0,0.971,0.967,0.976,PM25,
뇌졸중,뇌졸중(전체),chr_kid1,0.976,0.962,0.99,PM25,
뇌졸중,뇌졸중(전체),male,0.973,0.968,0.979,PM25,
뇌졸중,뇌졸중(전체),medicaid,0.951,0.94,0.962,PM25,
뇌졸중,뇌졸중(전체),normal,0.975,0.97,0.979,PM25,
뇌졸중,뇌졸중(전체),over65,0.969,0.965,0.974,PM25,
뇌졸중,뇌졸중(전체),SMK_never,0.978,0.971,0.985,PM25,
뇌졸중,뇌졸중(전체),SMK_ever,0.984,0.974,0.994,PM25,
